address,amenities,bathrooms,city,cleaning_fee_native,description,host_id,host_name,lat,listing_id,lng,min_nights,monthly_price_factor,name,price,property_type,reviewee_count,space,summary,ts
"Los Angeles, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Garden or backyard, Long term stays allowed]",3.0,Los Angeles,132,"At this Sonder, you'll love the spacious living area, stunning fully-equipped kitchen, and sleek hardwood floors. Located in South End, known for its assortment of delicious restaurants and fun bars.

This two bedroom is perfect for experiencing the glitz and glamor of Los Angeles. Lounge in your living room like a starlet as you admire the views through your floor-to-ceiling, wall-to-wall windows. Your gorgeous blue-paneled kitchen is outfitted with modern, stainless steel appliances, perfect for a dinner with friends and family. Each of the bedrooms is bright, sunny, and outfitted with chic furnishings

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

Hollywood Hills has plenty to offer within walking distance. Try out California Pizza Kitchen at Hollywood & Highland or Off Vine Restaurant for some of Los Angeles best dining. For shopping, head over to Beverly Center on Beverly Boulevard. To discover the rest of the city, hop on the bus at Beachwood Dr. & Winans Dr. stop.


Celebrities have been calling the Hollywood Hills home for the better part of a century. Experience all the intrigue and glamour this scenic, rambling neighborhood has to offer, and enjoy quick access to DTLA, Hollywood and other favorite areas.

This Sonder includes two complimentary parking spaces. Drivers can additionally find free street parking options nearby, but please be mindful of street signs.

Due to fire safety concerns in the area, please note that it is illegal to smoke, have open fires, or use grills on the premise.

Your Sonder's keys will be found in a lockbox and we'll be sending you detailed access information three days before your stay. If you need any help just give us a call.

This Sonder is a 1st floor walk-up with stair access only, and no elevator.",12243051,Sonder,34.1146635241,14371353,-118.322927972,2,,Sleek 2BR in Hollywood Hills by Sonder,339,Apartment,19807,"This two bedroom is perfect for experiencing the glitz and glamor of Los Angeles. Lounge in your living room like a starlet as you admire the views through your floor-to-ceiling, wall-to-wall windows. Your gorgeous blue-paneled kitchen is outfitted with modern, stainless steel appliances, perfect for a dinner with friends and family. Each of the bedrooms is bright, sunny, and outfitted with chic furnishings

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the spacious living area, stunning fully-equipped kitchen, and sleek hardwood floors. Located in South End, known for its assortment of delicious restaurants and fun bars.",2018-08-24 23:14:05.215936
"Chicago, IL, United States","[TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Long term stays allowed]",2.0,Chicago,144,"At this Sonder, you'll love the breathtaking views, spacious king-sized beds, and stunning fully-equipped kitchen. Located in West Loop, known for its assortment of delicious restaurants and relaxed cafes.

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

West Loop has plenty to offer within walking distance. Try out bellyQ or Alhambra Palace Restaurant for some of Chicago's best dining. For shopping head over to The Shops at North Bridge on N Michigan Ave. To discover the rest of the city just hop on the subway at Ashland station. 


The West Loop is a study of contrasts: An industrial past meets a slew of sleek new restaurants and shops. Walk down ""Restaurant Row"" and get tempted by sushi bars, bakeries, breweries, taquerias, and more. You'll also find plenty of chic boutiques.

Drivers can find free street parking nearby, but please be mindful of street signs.

Due to new development, you may encounter some construction that may be audible from your Sonder from 7:30AM - 4PM.",12243051,Sonder,41.885658332,13599334,-87.6597666189,2,,Smart 2BR near Restaurant Row by Sonder,110,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the breathtaking views, spacious king-sized beds, and stunning fully-equipped kitchen. Located in West Loop, known for its assortment of delicious restaurants and relaxed cafes.",2018-08-24 23:14:05.215936
"New York City, NY, United States","[TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Pets allowed, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Long term stays allowed, Host greets you]",1.0,New York City,122,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There's plenty to offer within walking distance. Try out The Bailey Pub and Brasserie or The Trading Post for some of NYC's best dining. Check out some major city attractions like the World Trade Center or One World Observatory. To explore the rest of the city, head to the Fulton Street Subway Station just a few blocks away.

In Lower Manhattan, the Financial District is one of New York City's most recognizable neighborhoods. Home to Wall Street and stunning high-rises, the city has seen some of the country's greatest accomplishments, although it's not all business. FiDi's residential life has grown rapidly, and there's plenty to explore in this bustling and historic area.

Drivers can find paid parking garages in the area.

The pool is available to guests for an additional fee, and must be scheduled in advance.

Pets are allowed in this building for an additional fee.

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,40.7065621655,23714684,-74.0049899784,30,1.0,Stunning 1BR in FiDi by Sonder,200,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"San Diego, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Long term stays allowed]",1.5,San Diego,103,"At this Sonder, you'll love the fully-equipped kitchen, hip decor, and private terrace with breathtaking views of the city. Located in North Park, one of San Diego's trendiest neighborhoods, you're 5 minutes from Balboa Park and the zoo.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

There's plenty to offer within walking distance. Try The Smoking Goat or Tostadas North Park for some of San Diego's best dining. For shopping, head to University Avenue. To experience the rest of the city, take the bus just steps away.

North Park has been named one of America's best hippest neighborhoods by Forbes, and it's easy to see why. The area offers a diverse array of restaurants, cafes, microbreweries, and boutiques, not to mention the vibrant farmer's market and the Ray Street Arts District, which is full of local galleries and studios.

This Sonder includes one private parking space in a garage. For additional cars, drivers can find free street parking nearby, but please be mindful of street signs.

This Sonder is a 3rd floor walk-up with stair access only, and no elevator. Additionally, the bedroom is only accessible by walking up the spiral staircase within the home.",12243051,Sonder,32.7488244807,22374437,-117.140539841,2,0.75,Incredible 1BR in North Park by Sonder,699,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the fully-equipped kitchen, hip decor, and private terrace with breathtaking views of the city. Located in North Park, one of San Diego's trendiest neighborhoods, you're 5 minutes from Balboa Park and the zoo.",2018-08-24 23:14:05.215936
"San Diego, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Free street parking, Hot tub, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Long term stays allowed, Other]",1.0,San Diego,104,"At this Sonder, you'll love the building amenities, breathtaking views, and private balcony. This apartment is located in the center of downtown, and comes with a private parking space.

Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.

Our concierge is available by phone, email, or Messenger 24/7. Don’t hesitate to contact us if you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay.

There's plenty to offer within walking distance. Try out Stella Public House or Basic for some of Downtown San Diego's best dining. For shopping, head to Westfield Horton Plaza. To explore the rest of the city, hop on the Orange Line at Park St. and Market St.

Located just southeast of the airport, Downtown is the city center of San Diego, with more than 4,000 businesses and nine districts. You can easily spend a couple of days visiting places like Petco Park, the Maritime Museum, and the Gaslamp District.

This Sonder comes with a private parking place.

Due to new development, you may encounter some construction that may be audible from your Sonder Monday - Friday from 7AM - 6PM.",12243051,Sonder,32.7093296121,21321103,-117.149944395,2,,Sophisticated 1BR in Downtown San Diego by Sonder,699,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes. Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath essentials—everything you need for an exceptional stay.","At this Sonder, you'll love the building amenities, breathtaking views, and private balcony. This apartment is located in the center of downtown, and comes with a private parking space.",2018-08-24 23:14:05.215936
"New York City, NY, United States","[TV, Cable TV, Wifi, Air conditioning, Kitchen, Pets allowed, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Stove, BBQ grill, Long term stays allowed, Host greets you]",1.0,New York City,120,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There's plenty to offer within walking distance. Try out Delmonico's for some of NYC's historic fine dining or stop by The Dead Rabbit Grocery and Grog for a lively cocktail hour. Sightsee nearby attractions via the Staten Island Ferry, voyaging by water for the perfect view of Ellis Island and The Statue Of Liberty. To explore the rest of the city, head over to Fulton Street Subway Station.

In Lower Manhattan, the Financial District is one of New York City's most recognizable neighborhoods. Home to Wall Street and stunning high-rises, the city has seen some of the country's greatest accomplishments, although it's not all business. FiDi's residential life has grown rapidly, and there's plenty to explore in this bustling and historic area.

Drivers can find paid parking options nearby, but please be mindful of street signs.

Pets are allowed in this building for an additional fee.

For security purposes, this building requires a background check.

This Sonder is equipped with a convection oven, but does not have full-sized oven. 

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,40.7044738258,25922026,-74.0084715314,30,1.0,Intimate Studio in FiDi by Sonder,125,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"San Jose, CA, United States","[TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Free street parking, Hot tub, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Long term stays allowed, Paid parking on premises]",1.0,San Jose,99,"The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.

Type: Studio - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security

Guests of Urban Flat will have access to all building amenities. 
-Pool
-Spa
-Fitness Center
-Business Center
-Fire Pits
-Lounge

We're available 24/7 via Text | Email | Emergency Phone Line
-Your Flat however, is 100% private and belongs to you while our guest.

*Area Highlights*
-Located in the Heart of the Silicon Valley
-Convenient Transport Links (Freeway + Caltrain)
-To SJC: Est. 10 Minutes
-To SFO: Est. 40 Minutes 
-To San Francisco, CA: Est. 50 Minutes
-Walkable + Safe Neighborhood
-Restaurants, Markets, Bars, Shopping - > 5 Minutes

This Flat Location is Uber/Lyft Accessible & Close to Major Transport Links

- Stays of 30+ days cannot be booked more than 1-year in advance
- Short-term stays are subject to a 30-day booking window in most cases
- Flat may vary slightly in floorplan, furnishings, or view
- No Onsite Luggage Storage
- No Filming or Commercial Photo-shoots without written consent 
- Self Check-in Process

*The Urban Flat Advantage*
-Streamlined Self-Check-in Process
-24/7 Guest Support
-On-Demand Cleaning Available @ $79/per
-100% Private Apartment

*What’s Next*
Submit a Booking Request → We’ll Accept & Confirm → Self-Check-In Instructions Sent via Text & Email 24-hours Prior to Arrival → Use Instructions to Access your Urban Flat → Welcome Home.",2917744,Urban Flat,37.406002987,8994396,-121.931275341,2,0.9,Modern & Clean Studio Urban Flat @Aire @SanJose,199,Apartment,2331,"Type: Studio - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security","The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.",2018-08-24 23:14:05.215936
"San Francisco, CA, United States","[TV, Cable TV, Wifi, Kitchen, Gym, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Paid parking on premises]",1.0,San Francisco,101,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There’s plenty to offer within walking distance. Try out Pläj Restaurant or 1601 Bar & Kitchen for some of San Francisco's best dining. For shopping, head to Westfield San Francisco Centre on Market Street. To explore the rest of the city, head to the Civic Center Metro Station.

SoMA, or South of Market, is a fast growing centrally located neighborhood filled with brand new high-rises with a vibrant nightlife. It is the home to many of the city's museums, the headquarters of several major software and Internet companies, and the Moscone Conference Center.

Parking is available upon request for an additional fee.

This Sonder does not have air conditioning, but we can provide fans for each of the rooms that you can use during your stay. 

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,37.7775592357,18791352,-122.413430212,30,1.0,Stunning 1BR in SoMA by Sonder,147,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"Palo Alto, CA, United States","[TV, Internet, Wifi, Kitchen, Free parking on premises, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace]",2.5,Palo Alto,275,"Top tech ( (Hidden by Airbnb) , (Hidden by Airbnb) , Apple, Microsoft) is a stone's throw from this conveniently located property in the apex of Silicon Valley. Outdoor spots like nearby Shoreline Park and Stevens Creek Trail open space preserve offer a nature break when the moment strikes you. Ready for some nightlife? Check out high-quality bars and restaurants in nearby downtown areas in Palo Alto, Los Altos and Mountain View!

Enjoy a stay with Zeus! We have 400+ reviews (see below).

Top tech ( (Hidden by Airbnb) , (Hidden by Airbnb) , Apple, Microsoft) is a stone's throw from this conveniently located property in the apex of Silicon Valley. Outdoor spots like nearby Shoreline Park and Stevens Creek Trail open space preserve offer a nature break when the moment strikes you. Ready for some nightlife? Check out high-quality bars and restaurants in nearby downtown areas in Palo Alto, Los Altos and Mountain View!",48005494,Zeus,37.4255735719,22122218,-122.102285077,30,,3BR Townhouse in Palo Alto,217,Townhouse,437,"Top tech ( (Hidden by Airbnb) , (Hidden by Airbnb) , Apple, Microsoft) is a stone's throw from this conveniently located property in the apex of Silicon Valley. Outdoor spots like nearby Shoreline Park and Stevens Creek Trail open space preserve offer a nature break when the moment strikes you. Ready for some nightlife? Check out high-quality bars and restaurants in nearby downtown areas in Palo Alto, Los Altos and Mountain View!","Top tech ( (Hidden by Airbnb) , (Hidden by Airbnb) , Apple, Microsoft) is a stone's throw from this conveniently located property in the apex of Silicon Valley. Outdoor spots like nearby Shoreline Park and Stevens Creek Trail open space preserve offer a nature break when the moment strikes you. Ready for some nightlife? Check out high-quality bars and restaurants in nearby downtown areas in Palo Alto, Los Altos and Mountain View!

Enjoy a stay with Zeus! We have 400+ reviews (see below).",2018-08-24 23:14:05.215936
"San Francisco, CA, United States","[TV, Cable TV, Wifi, Kitchen, Pets allowed, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Long term stays allowed, Paid parking on premises]",1.0,San Francisco,95,"When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.

Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.

Sonder will meet you at the property to help you with your luggage, provide you a tour, and check you into your Sonder stay comfortably. Don’t hesitate to contact our 24/7 concierge line should you need anything, from extra towels to restaurant recommendations. Otherwise, we’ll leave you to enjoy your stay!

There’s plenty to offer within walking distance. Try out Cellarmaker Brewing Co. or Zuni Café for some of San Francisco's best dining. For shopping, head to Westfield San Francisco Centre. To explore the rest of the city, head to the Civic Center Metro Station.

SoMA, or South of Market, is a fast growing centrally located neighborhood filled with brand new high-rises with a vibrant nightlife. It is the home to many of the city's museums, the headquarters of several major software and Internet companies, and the Moscone Conference Center.

Parking is available upon request for an additional fee.

This Sonder does not have air conditioning, but we'll provide fans for each of the rooms that you can use during your stay.

This apartment is available with flexible lease terms starting at a minimum of 30 nights or more. If this property isn't available for your dates, don't worry! Contact us to see what other Sonders are available for your stay.",12243051,Sonder,37.7768089592,22397835,-122.415841332,30,1.0,Classic 1BR in SoMA by Sonder,150,Apartment,19807,"Every booking is instantly confirmed. Every call or message is answered within minutes.
Every home is equipped with crisp linens, high-speed Wi-Fi, and kitchen and bath
essentials—everything you need for an exceptional stay.","When you stay at a Sonder, you get all the local color of a neighborhood with none of the inconsistencies. Every home is equipped with crisp linens, high-speed Wi-Fi, cable TV, a full kitchen, and bath essentials—everything you need for an exceptional stay. Our services include monthly cleanings and a 24/7 concierge.",2018-08-24 23:14:05.215936
"San Jose, CA, United States","[TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Free street parking, Hot tub, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, EV charger, BBQ grill, Patio or balcony, Garden or backyard, Long term stays allowed, Hot water kettle, Paid parking on premises]",1.0,San Jose,99,"The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.

Type: 1BR - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security

Guests of Urban Flat will have access to all building amenities. 
-Pool
-Spa
-Fitness Center
-Business Center
-Fire pits
-Cabanas

We're available 24/7 via Text | Email | Emergency Phone Line
-Your Flat however, is 100% private and belongs to you while our guest.

*Area Highlights*
-Located in the Heart of the Silicon Valley
-Convenient Transport Links (Freeway + Caltrain)
-Travel Time to SJC: 10
-Travel Time to SFO: 40
-Travel Time to San Francisco: 50
-Walkable + Safe Neighborhood
-Restaurants, Markets, Bars, Shopping - > 5 Minutes

This Flat Location is Uber/Lyft Accessible & Close to Major Transport Links

- Stays of 30+ days cannot be booked more than 1-year in advance
- Short-term stays are subject to a 30-day booking window in most cases
- Flat may vary slightly in floorplan, furnishings, or view
- No Onsite Luggage Storage
- No Filming or Commercial Photo-shoots without written consent 
- Self Check-in Process

*The Urban Flat Advantage*
-Streamlined Self-Check-in Process
-24/7 Guest Support
-On-Demand Cleaning Available @ $79/per
-100% Private Apartment

*What’s Next*
Submit a Booking Request → We’ll Accept & Confirm → Self-Check-In Instructions Sent via Text & Email 24-hours Prior to Arrival → Use Instructions to Access your Urban Flat → Welcome Home.",2917744,Urban Flat,37.4042209995,20480993,-121.940714562,5,,Beautiful 1BR/1BA Private Urban Flat in San Jose!,199,Apartment,2331,"Type: 1BR - Urban Flat
Location: San Jose, CA 
Flat Features: Fully-Equipped Kitchen + TV + Cable + WiFi + Washer & Dryer  
Building Amenities: Pool + Spa + Fitness Center + Parking Available
Neighborhood Walk Score: 8 
Travel Time to SJC: 10
Travel Time to SFO: 40
Travel Time to San Francisco: 50

*Flat Features*
-Fully-Equipped Kitchen
-In-Flat Washer + Dryer
-High-Speed WiFi
-HDTV + Cable + Bluetooth Sound System
-Workspace Equipped
-Parking Available @ $5/day
-1 Queen Bed + 1 Queen Air-Mattress
→ Additional Bedding Included
-Fresh Towels, Linens, & Essentials
-Iron, Coffee Machine, Hair Dryer

*Property Features*
-Guest Pool & Spa
-Multiple BBQ Grills
-Fitness Center
-Business Center
-Common Areas
-24/7 Security","The Urban Flat experience was designed for modern business and leisure travelers seeking an alternative to traditional accommodations, where one may enjoy the comforts of a home, without the confinements of a hotel. Welcome Home.",2018-08-24 23:14:05.215936
